tweet_id,retweet_count,favourite_count
849776966551130114,6808,27888
849668094696017920,4441,0
849412302885593088,2828,14661
849336543269576704,1688,10550
849051919805034497,7609,38980
848690551926992896,3916,23255
848324959059550208,4145,22820
848213670039564288,645,7534
848212111729840128,2715,15018
847978865427394560,2919,0
847971574464610304,394,0
847962785489326080,4570,21717
847842811428974592,1188,5009
847617282490613760,376,6463
847606175596138505,3080,17337
847251039262605312,3913,18950
847157206088847362,5249,18356
847116187444137987,2873,19864
846874817362120707,3547,18603
846514051647705089,10370,41151
846505985330044928,2758,13057
846153765933735936,8162,29083
846139713627017216,9160,28785
846042936437604353,2586,14797
845812042753855489,7852,26996
845677943972139009,4374,23410
845397057150107648,1620,7083
845306882940190720,4853,21603
845098359547420673,6936,0
844979544864018432,2309,12673
844973813909606400,2850,13928
844580511645339650,2813,15280
844223788422217728,1991,12689
843981021012017153,2699,14098
843856843873095681,4169,19946
843604394117681152,2478,15691
843235543001513987,5401,19953
842846295480000512,3315,14206
842765311967449089,1176,6296
842535590457499648,3176,16901
842163532590374912,5258,22716
842115215311396866,2756,13025
841833993020538882,13560,0
841680585030541313,7151,24033
841439858740625411,3320,11724
841320156043304961,5017,18405
841314665196081154,4234,14747
841077006473256960,4881,21320
840761248237133825,1622,0
840728873075638272,14581,0
840698636975636481,2,163
840696689258311684,890,11476
840632337062862849,1622,8421
840370681858686976,4176,15330
840268004936019968,5209,17892
839990271299457024,2066,12530
839549326359670784,7069,25554
839290600511926273,132,0
839239871831150596,5932,25225
838952994649550848,3662,18357
838921590096166913,1854,10419
838916489579200512,31,0
838831947270979586,10018,0
838561493054533637,1231,10242
838476387338051585,4340,20959
838201503651401729,9181,0
838150277551247360,303,1569
838085839343206401,1,134
838083903487373313,2841,16451
837820167694528512,7148,31821
837482249356513284,407,3604
837471256429613056,2061,11977
837110210464448512,2177,15061
836989968035819520,2111,11942
836753516572119041,4262,18115
836677758902222849,2021,11840
836648853927522308,508,0
836397794269200385,25060,0
836380477523124226,2745,13897
836260088725786625,3978,19945
836001077879255040,3888,17880
835685285446955009,7415,0
835574547218894849,3298,16634
835536468978302976,1540,0
835309094223372289,19146,0
835297930240217089,2738,15427
835264098648616962,1540,7232
835246439529840640,63,1990
835172783151792128,5289,24553
835152434251116546,2758,20941
834931633769889797,1490,10096
834786237630337024,5106,20205
834574053763584002,2309,12805
834477809192075265,9761,0
834458053273591808,1547,9026
834209720923721728,4323,19239
834167344700198914,3361,14820
834089966724603904,1962,9440
834086379323871233,2038,12229
833863086058651648,2210,12612
833826103416520705,3488,17070
833732339549220864,205,0
833722901757046785,2997,19665
833479644947025920,1892,13993
833124694597443584,4441,18978
832998151111966721,2012,12417
832769181346996225,38,0
832757312314028032,3316,15832
832682457690300417,2667,11139
832645525019123713,484,2736
832636094638288896,2560,14876
832397543355072512,2036,11232
832369877331693569,2919,16069
832273440279240704,2145,10642
832215909146226688,5716,0
832215726631055365,8582,0
832088576586297345,2,59
832040443403784192,8816,0
832032802820481025,4297,16764
831939777352105988,5651,22462
831926988323639298,34,319
831911600680497154,5968,25822
831670449226514432,1688,9777
831650051525054464,1785,6677
831552930092285952,2160,8450
831322785565769729,1442,8748
831315979191906304,1036,6169
831309418084069378,2264,11082
831262627380748289,1887,11150
830956169170665475,1374,7504
830583320585068544,15397,62360
830173239259324417,5237,0
830097400375152640,2694,9148
829878982036299777,4596,0
829861396166877184,1793,11510
829501995190984704,9761,29861
829449946868879360,1861,9864
829141528400556032,6761,22887
829011960981237760,15084,50213
828801551087042563,3156,0
828770345708580865,5391,24065
828708714936930305,10312,34223
828650029636317184,1234,8941
828409743546925057,1078,6037
828408677031882754,1184,7247
828381636999917570,2056,11856
828376505180889089,993,6976
828372645993398273,2723,11853
828361771580813312,165,2069
828046555563323392,2651,11040
828011680017821696,1985,9761
827933404142436356,4825,18820
827653905312006145,2791,14562
827600520311402496,864,7053
827324948884643840,2802,14932
827199976799354881,2060,9986
826958653328592898,4596,20291
